model,fold,f1_macro,acc
KNN,0,0.997276046117452,0.9973045822102425
KNN,1,0.996242796605734,0.9964061096136568
KNN,2,0.9937337864055861,0.9937106918238994
KNN,3,0.9954300903119054,0.9955056179775281
KNN,4,0.9946331083344141,0.9950561797752809
GaussianNB,0,0.5657846150508091,0.5673854447439353
GaussianNB,1,0.5720466033378256,0.5727762803234502
GaussianNB,2,0.5790552223226281,0.5790655884995508
GaussianNB,3,0.5542585054382997,0.5532584269662921
GaussianNB,4,0.568317377238719,0.5671910112359551
LDA,0,0.9425073434427125,0.9456424079065588
LDA,1,0.9497041914988752,0.9528301886792453
LDA,2,0.938455248894697,0.9415992812219227
LDA,3,0.9484269615947971,0.9510112359550562
LDA,4,0.9450562909632224,0.9492134831460675
AdaBoost,0,0.9224719455540998,0.9285714285714286
AdaBoost,1,0.9158957576438739,0.9236298292902066
AdaBoost,2,0.913882861238322,0.9227313566936208
AdaBoost,3,0.8989861954658416,0.9087640449438202
AdaBoost,4,0.9182252654652698,0.927191011235955
